Id,ViolentCrimesPerPop
1,0.5777
2,0.4514
3,0.1384
4,0.0208
5,0.3779
6,0.482
7,0.1737
8,0.0151
9,0.433
10,0.762
11,0.314
12,0.6863
13,0.391
14,0.931
15,0.9158
16,0.5591
17,0.4389
18,0.6226
19,0.6057
20,0.1101
21,0.0471
22,0.9857
23,0.4549
24,0.1587
25,0.6002
26,0.2359
27,0.1974
28,0.7643
29,0.9012
30,0.5227
31,0.1184
32,0.7012
33,0.7301
34,0.2519
35,0.65
36,0.4195
37,0.5129
38,0.8974
39,0.9306
40,0.3346
41,0.5216
42,0.0059
43,0.5915
44,0.2993
45,0.3071
46,0.9525
47,0.2649
48,0.1478
49,0.1739
50,0.0505
51,0.2014
52,0.424
53,0.6733
54,0.089
55,0.6221
56,0.5367
57,0.3401
58,0.5709
59,0.8347
60,0.0509
61,0.5305
62,0.5832
63,0.0356
64,0.194
65,0.0097
66,0.8951
67,0.1264
68,0.0391
69,0.9968
70,0.9632
71,0.0635
72,0.3961
73,0.6445
74,0.9298
75,0.1958
76,0.8118
77,0.347
78,0.8266
79,0.7655
80,0.7257
81,0.9362
82,0.8684
83,0.8456
84,0.8317
85,0.7865
86,0.3064
87,0.6592
88,0.6724
89,0.477
90,0.2169
91,0.4028
92,0.9965
93,0.4411
94,0.7785
95,0.9832
96,0.3274
97,0.4144
98,0.3929
99,0.9827
100,0.8752
101,0.2784
102,0.0215
103,0.6245
104,0.1018
105,0.3052
106,0.0334
107,0.6962
108,0.4105
109,0.8386
110,0.4671
111,0.7664
112,0.8494
113,0.6633
114,0.4749
115,0.7629
116,0.4925
117,0.9318
118,0.9914
119,0.2436
120,0.3107
121,0.5024
122,0.9119
123,0.9025
124,0.2372
125,0.0341
126,0.365
127,0.4035
128,0.6999
129,0.2471
130,0.749
131,0.2048
132,0.6594
133,0.0802
134,0.1596
135,0.4525
136,0.3162
137,0.2988
138,0.6319
139,0.9948
140,0.1068
141,0.1588
142,0.5859
143,0.352
144,0.7356
145,0.5609
146,0.4714
147,0.3962
148,0.3727
149,0.9345
150,0.7069
151,0.158
152,0.0518
153,0.3073
154,0.0115
155,0.8008
156,0.9575
157,0.7481
158,0.4155
159,0.6476
160,0.5559
161,0.1745
162,0.1836
163,0.9493
164,0.5264
165,0.3012
166,0.7502
167,0.375
168,0.3789
169,0.2841
170,0.028
171,0.5972
172,0.2971
173,0.1298
174,0.8507
175,0.0338
176,0.2971
177,0.3623
178,0.2601
179,0.7814
180,0.3054
181,0.7307
182,0.4875
183,0.6073
184,0.9348
185,0.8846
186,0.2515
187,0.3434
188,0.3466
189,0.8623
190,0.2813
191,0.8861
192,0.3264
193,0.1217
194,0.5766
195,0.655
196,0.231
197,0.1425
198,0.1901
199,0.9126
200,0.5756
201,0.5205
202,0.308
203,0.1701
204,0.8145
205,0.5261
206,0.2961
207,0.8775
208,0.8386
209,0.4987
210,0.2178
211,0.5409
212,0.9676
213,0.9508
214,0.9585
215,0.3212
216,0.9131
217,0.2459
218,0.032
219,0.6722
220,0.8651
221,0.3867
222,0.2734
223,0.6376
224,0.5758
225,0.9769
226,0.498
227,0.6217
228,0.2689
229,0.535
230,0.2249
231,0.6673
232,0.7818
